id,season,episode,name,directed_by,written_by

1,1,1,"Cartman Gets an **** *****","Trey Parker","Trey Parker & Matt Stone"
2,1,2,"Volcano","Trey Parker & Matt Stone","Trey Parker & Matt Stone"
3,1,3,"Weight Gain 4000","Trey Parker & Matt Stone","Trey Parker & Matt Stone"
4,1,4,"Big *** Al's Big *** Boat Ride","Trey Parker","Trey Parker & Matt Stone"
5,1,5,"An Elephant Makes Love to a Pig","Trey Parker","Trey Parker & Matt Stone"
6,1,6,"Death","Matt Stone","Trey Parker, Matt Stone, & Dan Sterling"
7,1,7,"Pinkeye","Trey Parker & Matt Stone","Trey Parker, Matt Stone, & Philip Stark"
8,1,8,"Starvin' Marvin","Trey Parker","Trey Parker"
9,1,9,"Mr. Hankey, the Christmas Poo","Trey Parker & Matt Stone","Trey Parker"
10,1,10,"Damien","Trey Parker","Trey Parker & Matt Stone"
11,1,11,"Tom's Rhinoplasty","Trey Parker","Trey Parker"
12,1,12,"Mecha-Streisand","Trey Parker","Trey Parker, Philip Stark, & Matt Stone"
13,1,13,"Cartman's Mom is a ***** ****","Trey Parker","Trey Parker, Philip Stark, & Matt Stone"

14,2,1,"Terrance and Phillip in Not Without My ****","Trey Parker","Trisha Nixon & Trey Parker"
15,2,2,"Cartman's Mom is Still a ***** ****","Trey Parker","David Goodman & Trey Parker"
16,2,3,"Ike's *** ***","Trey Parker","Trey Parker"
17,2,4,"Chickenlover","Trey Parker","Trey Parker, Matt Stone, & David Goodman"
18,2,5,"Conjoned Fetus Lady","Trey Parker","Trey Parker, Matt Stone, & David Goodman"
19,2,6,"The Mexican Staring Frog of Southern Sri Lanka","Trey Parker","Trey Parker & Matt Stone"
20,2,7,"City on the Edge of Forever / Flashbacks","Trey Parker","Trey Parker & Nancy M. Pimental"
21,2,8,"Summer Sucks","Trey Parker","Nancy M. Pimental & Trey Parker"
22,2,9,"Chef's Chocolate Salty *****","Trey Parker","Trey Parker, Matt Stone, & Nancy M. Pimental"
23,2,10,"Chickenpox","Trey Parker","Trey Parker, Matt Stone, & Trisha Nixon"
24,2,11,"Roger Ebert Should Lay Off the Fatty Foods","Trey Parker","Trey Parker & David Goodman"
25,2,12,"Clubhouses","Trey Parker","Trey Parker & Nancy M. Pimental"
26,2,13,"Cow Days","Trey Parker","Trey Parker & David Goodman"
27,2,14,"Chef Aid","Trey Parker","Trey Parker & Matt Stone"
28,2,15,"Spookyfish","Trey Parker","Trey Parker"
29,2,16,"Merry Christmas Charlie Manson!","Eric Stough","Trey Parker & Nancy M. Pimental"
30,2,17,"Gnomes","Trey Parker","Pam Brady, Trey Parker, & Matt Stone"
31,2,18,"Prehistoric Ice Man","Eric Stough","Trey Parker & Nancy M. Pimental"

32,3,1,"Rainforest Shmainforest","Trey Parker & Eric Stough","Trey Parker & Matt Stone"
33,3,2,"Spontaneous Combustion","Matt Stone","Trey Parker, Matt Stone, & David Goodman"
34,3,3,"Succubus","Trey Parker","Trey Parker"
35,3,4,"Jackovasaurs","Matt Stone","Trey Parker, Matt Stone, & David Goodman"
36,3,5,"Tweek vs. Craig","Trey Parker","Trey Parker"
37,3,6,"****** *********** Panda","Eric Stough","Trey Parker"
38,3,7,"Cat ****","Trey Parker","Trey Parker"
39,3,8,"Two Guys ***** in a Hot Tub","Trey Parker","Trey Parker, Matt Stone, & David Goodman"
40,3,9,"Jewbilee","Trey Parker","Trey Parker"
41,3,10,"Korn's Groovy Pirate Ghost Mystery","Trey Parker","Trey Parker"
42,3,11,"Chinpokomon","Eric Stough & Trey Parker","Trey Parker"
43,3,12,"Hooked on Monkey Fonics","Trey Parker","Trey Parker"
44,3,13,"Starvin' Marvin in Space","Trey Parker","Trey Parker, Matt Stone, & Kyle McCulloch"
45,3,14,"The Red Badge of *******","Trey Parker","Trey Parker"
46,3,15,"Mr. Hankey's Christmas Classics","Trey Parker","Trey Parker"
47,3,16,"Are You There God? It's Me, Jesus","Eric Stough","Trey Parker"
48,3,17,"World Wide Recorder Concert","Eric Stough","Trey Parker"

49,4,1,"The Tooth Fairy's Tats 2000","Tery Parker","Trey Parker, Matt Stone, & Nancy M. Pimental"
50,4,2,"Cartman's Silly Hate Crime 2000","Trey Parker & Eric Stough","Trey Parker"
51,4,3,"Timmy 2000","Trey Parker","Trey Parker"
52,4,4,"Quintuplets 2000","Trey Parker","Trey Parker"
53,4,5,"Cartman Joins NAMBLA","Eric Stough","Trey Parker"
54,4,6,"Cherokee Hair Tampons","Trey Parker","Trey Parker"
55,4,7,"Chef Goes Nanners","Trey Parker & Eric Stough","Trey Parker"
56,4,8,"Something You Can Do with Your Finger","Trey Parker","Trey Parker"
57,4,9,"Do the Handicapped Go to ****?","Trey Parker","Trey Parker"
58,4,10,"Probably","Trey Parker","Trey Parker"
59,4,11,"Fourth Grade","Trey Parker","Trey Parker"
60,4,12,"Trapper Keeper","Trey Parker","Trey Parker"
61,4,13,"Helen Keller! The Musical","Trey Parker","Trey Parker"
62,4,14,"Pip / Great Expectations","Eric Stough","Trey Parker"
63,4,15,"Fat Camp","Trey Parker","Trey Parker"
64,4,16,"The Wacky *********** Adventure","Trey Parker","Trey Parker"
65,4,17,"A Very Crappy Christmas","Adrien Beard","Trey Parker"

66,5,1,"It Hits the Fan","Trey Parker","Trey Parker"
67,5,2,"Cripple Fight","Trey Parker","Trey Parker"
68,5,3,"Super Best Friends","Trey Parker","Trey Parker"
69,5,4,"Scott Tenorman Must Die","Eric Stough","Trey Parker"
70,5,5,"Terrance and Phillip: Behind the Blow","Trey Parker","Trey Parker"
71,5,6,"Cartmanland","Trey Parker","Trey Parker"
72,5,7,"Proper ****** Use","Trey Parker","Trey Parker"
73,5,8,"Towelie","Trey Parker","Trey Parker"
74,5,9,"Osama Bin Laden has Farty Pants","Trey Parker","Trey Parker"
75,5,10,"How to Eat with Your Butt","Trey Parker","Trey Parker"
76,5,11,"The Entity!","Trey Parker","Trey Parker"
77,5,12,"Here Comes the Neighborhood","Eric Stough","Trey Parker"
78,5,13,"Kenny Dies","Trey Parker","Trey Parker"
79,5,14,"Butters' Very Own Episode","Eric Stough","Trey Parker"

80,6,1,"Jared Has Aides","Trey Parker","Trey Parker"
81,6,2,"Asspen","Trey Parker","Trey Parker"
82,6,3,"Freak Strike","Trey Parker","Trey Parker"
83,6,4,"Fun with Veal","Trey Parker","Trey Parker"
84,6,5,"The New Terrance and Phillip Movie Trailer","Trey Parker","Trey Parker"
85,6,6,"Professor Chaos","Trey Parker","Trey Parker"
86,6,7,"Simpsons Already Did It","Trey Parker","Trey Parker"
87,6,8,"Red Hot Catholic Love","Trey Parker","Trey Parker"
88,6,9,"Free Hat","Toni Nugnes","Trey Parker"
89,6,10,"Bebe's ***** Destroy Society","Trey Parker","Trey Parker"
90,6,11,"Child Abduction Is Not Funny","Trey Parker","Trey Parker"
91,6,1,"A Ladder to Heaven","Trey Parker","Trey Parker"
92,6,13,"The Return of the Fellowship of the RIng of the Two Towers","Trey Parker","Trey Parker"
93,6,14,"The Death Camp of Tolerance","Trey Parker","Trey Parker"
94,6,15,"The Biggest ****** In the Universe","Trey Parker","Trey Parker"
95,6,16,"My Future Self 'n' Me","Trey Parker & Eric Stough","Trey Parker"
96,6,17,"Red Sleigh Down","Trey Parker","Trey Parker"

97,7,1,"Cancelled","Trey Parker","Trey Parker"
98,7,2,"Krazy Kripples","Trey Parker","Trey Parker"
99,7,3,"Toilet Paper","Trey Parker","Trey Parker"
100,7,4,"I'm a Little Bit Country","Trey Parker","Trey Parker"
101,7,5,"Fat **** and Pancake Head","Trey Parker","Trey Parker"
102,7,6,"Lil' Crime Stoppers","Trey Parker","Trey Parker"
103,7,7,"Red Man's Greed","Trey Parker","Trey Parker"
104,7,8,"South Park is ***","Trey Parker","Trey Parker"
105,7,9,"Christian Rock Hard","Trey Parker","Trey Parker"
106,7,10,"Grey Dawn","Trey Parker","Trey Parker"
107,7,11,"Casa Bonita","Trey Parker","Trey Parker"
108,7,12,"All About Mormons","Trey Parker","Trey Parker"
109,7,13,"Butt Out","Trey Parker","Trey Parker"
110,7,14,"Raisins","Trey Parker","Trey Parker"
111,7,15,"It's Christmas in Canada","Trey Parker","Trey Parker"

112,8,1,"Good Times with Weapons","Trey Parker","Trey Parker"
113,8,2,"Up the Down Steroid","Trey Parker","Trey Parker"
114,8,3,"The Passion of the Jew","Trey Parker","Trey Parker"
115,8,4,"You Got *** in the ***","Trey Parker","Trey Parker"
116,8,5,"Awesome-O","Trey Parker","Trey Parker"
117,8,6,"The Jeffersons","Trey Parker","Trey Parker"
118,8,7,"Goobacks","Trey Parker","Trey Parker"
119,8,8,"****** and ****","Trey Parker","Trey Parker"
120,8,9,"Something Wall-Mart This Way Comes","Trey Parker","Trey Parker"
121,8,10,"Pre-School","Trey Parker","Trey Parker"
122,8,11,"Quest for Ratings","Trey Parker","Trey Parker"
123,8,12,"Stupid ******* ***** Video Playset","Trey Parker","Trey Parker"
124,8,13,"Cartman's Incredible Gift","Trey Parker","Trey Parker"
125,8,14,"Woodland Critter Christmas","Trey Parker","Trey Parker"

126,9,1,"Mr. Garrison's Fancy New ******","Trey Parker","Trey Parker"
127,9,2,"Die Hippie Die","Trey Parker","Trey Parker"
128,9,3,"Wing","Trey Parker","Trey Parker"
129,9,4,"Best Friends Forever","Trey Parker","Trey Parker"
130,9,5,"The Losing Edge","Trey Parker","Trey Parker"
131,9,6,"The Death of Eric Cartman","Trey Parker","Trey Parker"
132,9,7,"******** Day","Trey Parker","Trey Parker"
133,9,8,"Two Days Before the Day After Tomorrow","Trey Parker","Trey Parker"
134,9,9,"Marjorine","Trey Parker","Trey Parker"
135,9,10,"Follow that Egg!","Trey Parker","Trey Parker"
136,9,11,"Ginger Kids","Trey Parker","Trey Parker"
137,9,12,"Trapped in the Closet","Trey Parker","Trey Parker"
138,9,13,"Free Willzyx","Trey Parker","Trey Parker"
139,9,14,"Bloody Mary","Trey Parker","Trey Parker"

140,10,1,"The Return of Chef","Trey Parker","Trey Parker"
141,10,2,"Smug Alert","Trey Parker","Trey Parker"
142,10,3,"Cartoon Wars Part I","Trey Parker","Trey Parker"
143,10,4,"Cartoon Wars Part II","Trey Parker","Trey Parker"
144,10,5,"A Million Little Fibers","Trey Parker","Trey Parker"
145,10,6,"ManBearPig","Trey Parker","Trey Parker"
146,10,7,"Tsst","Trey Parker","Trey Parker"
147,10,8,"Make Love Not Warcraft","Trey Parker","Trey Parker"
148,10,9,"Mystery of the Urinal Deuce","Trey Parker","Trey Parker"
149,10,10,"Miss Teacher Bangs a Boy","Trey Parker","Trey Parker"
150,10,11,"Hell of Earth 2006","Trey Parker","Trey Parker"
151,10,12,"Go God Go","Trey Parker","Trey Parker"
